Compétence;Sous-compétence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Comportement;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Implication;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
